"aiuto","help, aid assistance ","aiuto"
"umanità","f. humanity","umanità"
"sfida","f. challenge","sfida"
"capacità","f. capacity; ability, capability","capacità"
"attenzione","f. attention, care","attenzione"
"con attenzione","carefully, attentively; closely ","con attenzione"
"ambito","m. area; field","ambito"
"affidare","to entrust; avere affidato","affidare"
"affidare qn/qc a qn","to entrust sb/sth to sb","affidare qn/qc a qn"
"risolvere","to resolve; sort out; solve, work out;  avere risolto","risolvere"
"problema","m. problem, issue","problema"
"aspetto","m. appearance, look; aspect, side","aspetto"
"lavorativo, lavorotiva","working, of work","lavorativo, lavorotiva"
"supporto","m. support","supporto"
"quotidianità","f. daily routine, daily life","quotidianità"
"imprescindibile, imprescindibili","inescapable, unavoidable; essential","imprescindibile, imprescindibili"
"personalmente","personally","personalmente"
"ricerca","f. research","ricerca"
"informazioni","f. pl. information","informazioni"
"codice","m. code","codice"
"applicazione","f. application","applicazione"
"intrigo","m. intrigue, scheme, plot","intrigo"
"tristezza","f. sadness, sorrow","tristezza"
"emozione","f. emotion","emozione"
"sensazione","f. feeling, sensation","sensazione"
"perplessità","f. perplexity ","perplessità"
"faccende domestiche","f. housework, chores","faccende domestiche"
"cucinare","to cook; avere cucinato","cucinare"
"pulire","to clean; avere pulito","pulire"
"buttare la spazzatura","to take out the garbage","buttare la spazzatura"
"rimpiazzare","to replace; avere rimpiazzato","rimpiazzare"
"staccare la spina","to unplug, pull the plug","staccare la spina"
"staccare (da)","to remove (from), take (from); to take down (from); to tear out (of), remove (from)","staccare (da)"
"fare la lavatrice","to do the laundry","fare la lavatrice"
"(ri)fare il letto","to (re)make the bed","(ri)fare il letto"
"innovazione","f. innovation","innovazione"
"paura","f. fear","paura"
"manodopera","f. manpower, labor, workforce","manodopera"
"delegare","to delegate; avere delegato","delegare"
"esigenza","f. requirement, need","esigenza"
"sentire l'esigenza di qc/di fare qc","to feel the need for sth/to do sth","sentire l'esigenza di qc/di fare qc"
"punto di vista","point of view, perspective","punto di vista"
"spunto","m. cue, starting point, idea","spunto"
"incuriosirsi","to become curious; essersi incuriosito","incuriosirsi"
"venire in mente","to come to mind","venire in mente"
"connettere","to connect, join; associate; think straight; avere connettuto","connettere"
"connettere (a)","to connect (with), link (to)","connettere (a)"
"cervello","m. brain, brains; mind","cervello"
"collegare","to connect, join, link; avere collegato","collegare"
"trarre","to draw, pull (out); obtain, get; avere tratto","trarre"
"formare","to form, shape, make; mould; avere formato","formare"
"appunto","exactely, just","appunto"
"qualche cosa","something","qualche cosa"
"fare attenzione","to pay attention","fare attenzione"
"sistema","m. system; method, way; process","sistema"
"automazione","f. automation","automazione"
"applicare","to apply; avere applicato","applicare"
"ambito","m. area, field","ambito"
"informatico, informatica","computer","informatico, informatica"
"per carità","for goodness sake","per carità"
"quotidianamente","daily, every day","quotidianamente"
"buttare","to throw; throw away, discard; avere buttato","buttare"
"buttare giù","(scritto) to jot down, scribble down; (cibo, boccone) to gulp down; (edificio) to pull down, knock down ; (governo) to bring down ","buttare giù"
"più che altro","mainly, above all, mostly","più che altro"
"svariato, svariata","various, varied","svariato, svariata"
"capitare","(impers) to arrive, find o.s.; turn up, present itself; to happen; essere capitato","capitare"
"capitare a proposito","to happen at the right moment","capitare a proposito"
"capitare bene/male","to happen at a good time/at a bad time, turn out well/badly","capitare bene/male"
"capitare per caso","to happen by chance","capitare per caso"
"mi è capitato bene/male","it turned out well/badly for me","mi è capitato bene/male"
"rimpiazzare","to replace; avere rimpiazzato","rimpiazzare"
"tenere presente qc","to keep sth in mind","tenere presente qc"
"avvenire","m. inv. future","avvenire"
"farsi aiutare","to get help","farsi aiutare"
"gestire","to manage, run; avere gestito","gestire"
"sostituire","to replace, take the place of; stand in for; avere sostituito","sostituire"
"essere in grado di fare qc","to be able to do sth","essere in grado di fare qc"
