"basso","n. m. (parte inferiore) bottom, lower part"
"in basso","adv. below, at the bottom"
"più in basso","adv. lower, further down"
"mettere più in basso","v. (abbassare) to lower"
"alto","n. m. (parte superiore) top, upper part"
"in alto","adv. up, at the top"
"più in alto","adv. higher, higher up"
"laggiù","adv. (in basso) down there"
"lassù","adv. (in alto) up there"
"cima","n. f. top; (di montagna) summit, peak"
"in cima a","prep. (lista, classifica) at the top of; (montagna) on the summit of"
"sinistra","n. f. (mano) left hand; (parte) left"
"a sinistra (di)","adv. (stato in luogo) on the left (of); (moto a luogo) to the left (of)"
"destra","n. f. (mano) right hand; (parte) right"
"a destra (di)","adv. (stato in luogo) on the right (of); (moto a luogo) to the right (of)"
"tenere la sinistra","v. to keep to the left, keep left"
"tenere la destra","v. to keep to the right, keep right"
"girare a sinistra","v. to turn left"
"girare a destra","v. to turn right"
"davanti","adv. (posizione) in front, (dirimpetto) opposite"
"davanti a","prep. (posizione) in front of, (dirimpetto a) opposite, (distanza) ahead of; (al cospetto di) before"
"avanti","adv. (direzione: andare, venire) forward"
"indietro","adv. (direzione) behind; (guardare) back, (andare) backward"
"dietro","adv. (posizione) behind; (in fondo) at the back"
"dietro (a)","prep. (posizione) behind; (tempo: dopo) after"
"uno dietro l'altro","adv. one behind the other, one after another"
"tornare indietro","v. to go back"
"fuori","adv. (all'esterno) outside, (di casa) out, (di città) away"
"fuori da","prep. (luogo, confine) out (of), outside (of)"
"fuori di","prep. (controllo, mente) out (of), outside of; (dubbio) beyond"
"essere fuori di sé","v. to be beside oneself"
"dentro","adv. (all'interno) inside"
"dentro (a)","prep. (stato) inside, (moto) in"
"andare dentro","v. to go inside"
"sopra","adv./prep. (in cima) on top; on; (in cima a) on top of; (più in alto di) above; over"
"sotto","adv./prep. (addosso) underneath; under(neath); (più in basso di) under, below"
"accanto","adv. nearby, near"
"accanto a","prep. next to, beside"
"vicino","adv. (a poca distanza) near, nearby, close (by)"
"vicino a","prep. close to, near to"
"lontano","adv. far (away)"
"da nessuna parte","adv. (con non) anywhere; (senza non) nowhere"
"ovunque","adv. everywhere"
"dovunque","adv. everywhere"
"da qualche parte","adv. (con non) anywhere; (senza non) somewhere"
"da qualche altra parte","adv. (con non) anywhere else; (senza non) somewhere else"
"da qualsiasi altra parte","adv. (con non) anywhere else; (senza non) somewhere else"
"altrove","adv. elsewhere, somewhere else"

"fondo","n. m. (di pentola, valigia) bottom; (fine) end"
"in fondo",""
