source,target,source example,target example,source language,target language,source segment,url,comment
"inedito","new","Non è certo un fenomeno inedito, ma c'è una novità.","It is not a new phenomenon, but something has changed.","it","en","","",""
"angoscia","anguish","Ha cercato aiuto per affrontare l'angoscia mentale causata da problemi finanziari.","He sought help to address the mental anguish caused by financial troubles.","it","en","","",""
"spopolare","depopulate","Un copricapo che segnò un'epoca e che continua a spopolare nel mondo.","A headdress that marked an era and continues to depopulate the world.","it","en","","",""
"sopportare","bear","Trovava difficile sopportare il freddo pungente durante la sua vacanza.","She found the nasty cold weather hard to bear during her vacation.","it","en","","",""
"sebbene","although","La ricetta, sebbene semplice, era scarsa di sapore e originalità.","The recipe, although simple, was lacking flavor and excitement.","it","en","","",""
"far scendere","bring down","Solo allora inizieremo a far scendere i coloni.","Only then will we begin to bring down the settlers.","it","en","","",""
"far attraccare","to dock","Dobbiamo fermare la spinta per far attraccare altra nave, ok?","Must cut thrust for other ship to dock, okay?","it","en","","",""
"qualsiasi","any","Alle guardie di sicurezza fu ordinato di fermare qualsiasi intruso a vista.","The security guards were instructed to detain any intruders on sight.","it","en","","",""
"così come","as well as","I cefali si possono trovare nei fiumi così come negli oceani.","Mullet can be found in rivers as well as oceans.","it","en","","",""
"contraddistinto","marked","Un mandato è spesso contraddistinto da eventi politici significativi o crisi.","A term of office is often marked by significant political events or crises.","it","en","","",""
"all'interno di","within","È essenziale inserire attività di svago all'interno di un programma intenso.","It's essential to space leisure activities within a busy schedule.","it","en","","","inside, inside of"
"riprese","footage","Il documentario ha preso corpo man mano che venivano condotte più interviste e raccolte riprese.","The documentary film took shape as more interviews were conducted and footage collected.","it","en","","","shooting, filming"
"prendersela","take it","E devono prendersela per forza con me dopo lo show...","And they need to take it up with me after the show...","it","en","","",""
"gommone","dinghy","Ogni volta che piove, il gommone tende a imbarcare acqua attraverso le giunture.","Every time it rains, the dinghy tends to ship water through the seams.","it","en","","","raft, rubber boat"
"incolumità","safety","Le misure di sicurezza rafforzate garantirono l'incolumità di tutti all'evento.","The tightened security measures ensured everyone's safety at the event.","it","en","","","security, integrity"
"fuorvianti","misleading","Le sue dichiarazioni fuorvianti servivano solo a confondere le acque durante l'indagine.","His misleading statements only served to muddy the waters during the investigation.","it","en","","","misguided, mislead"
"raffigurare","depict","Se continui a esercitarti, puoi in seguito raffigurare soldati reali.","If you still practice this, you can later depict real soldiers.","it","en","","",""
"presunta","alleged","Il suo romanzo fu bandito per la presunta offesa alle religioni stabilite.","Her novel was banned for its alleged blasphemy towards established religions.","it","en","","",""
"indissolubile","indissoluble","Questo disegno può ben rappresentare l'unione indissolubile tra i vari elementi.","This design can well represent the indissoluble union between all elements.","it","en","","",""
"indiscusso","undisputed","Nel suo campo, è l'esperto indiscusso sull'argomento.","In his field, he is the undisputed expert on the subject.","it","en","","",""
"dunque","therefore","Una frazione, dunque, e per giunta tutt'altro che popolosa.","A fraction, therefore, and in addition anything but populous.","it","en","","",""
"denunciare","denounce","La comunità si è unita per denunciare l'estrema immoralità riflessa nelle notizie locali.","The community rallied together to denounce the gross indecency reflected in the local news.","it","en","","","report, expose"
"al di fuori","outside","Molti integralisti trovano difficile socializzare al di fuori dei loro gruppi consolidati.","Many sectarians find it difficult to socialize outside their established groups.","it","en","","","out, beyond"
"promuovere","promote","Hanno organizzato un evento comunitario per promuovere l'esercizio fisico per tutti.","They organized a community event to promote physical fitness for everyone.","it","en","","","foster, encourage"
"risonanza","resonance","Il radicale fenilico può stabilizzarsi grazie alla risonanza con i suoi elettroni.","The phenyl radical can stabilize itself due to resonance with its electrons.","it","en","","",""
"suscitato","sparked","La smentita del politico sembrava insincera e ha solo suscitato più domande.","The politician's denial seemed insincere and only sparked more questions.","it","en","","","aroused, raised"
"concorso","competition","È passata dalle stalle alle stelle vincendo il concorso canoro nazionale.","She went from zero to hero by winning the national singing competition.","it","en","","","contest, pageant"
"lacuna","gap","Questa nuova politica aiuterà a colmare una lacuna nel nostro sistema sanitario.","This new policy will help fill a gap in our healthcare system.","it","en","","","shortcoming, lacuna"
