"ambientazione","(film/story) setting","ambientazione"
"ambiente","environment","ambiente"
"autore","m. author","autore"
"autrice","f. author","autrice"
"avventura","adventure","avventura"
"azione","f. action","azione"
"capitolo","chapter","capitolo"
"categoria","category","categoria"
"classico","classical, classic","classico"
"console di videogiochi","game console","console di videogiochi"
"copertina flessibile","soft cover","copertina flessibile"
"copertina rigida","hard cover","copertina rigida"
"copertina","cover","copertina"
"culturale","cultural","culturale"
"descrivere qc a qn","to describe sth to sb","descrivere qc a qn"
"descrivere","to describe; avere descritto","descrivere"
"fantascienza","science fiction","fantascienza"
"filosofia","philosophy","filosofia"
"filosofo","philosopher","filosofo"
"fumetto","comic","fumetto"
"genere","m. kind, type, sort","genere"
"giallo","mystery, thriller","giallo"
"leggere qc","to read sth","leggere qc"
"leggere","to read; avere letto","leggere"
"libreria","bookshop, bookcase","libreria"
"lingua latina","Latin","lingua latina"
"magia","magic","magia"
"mitologia","mythology","mitologia"
"narrativa di genere","genre fiction","narrativa di genere"
"narrativa letteraria","literary fiction","narrativa letteraria"
"narrativa storica","historical fiction","narrativa storica"
"narrativa","fiction","narrativa"
"novella","short story","novella"
"poesia","poetry","poesia"
"poltrona reclinabile di pelle","leather recliner","poltrona reclinabile di pelle"
"poltrona reclinabile","recliner","poltrona reclinabile"
"satira","satire","satira"
"scaffale","shelf, set of shelves","scaffale"
"segnalibro","bookmark","segnalibro"
"serie","inv. f. series","serie"
"sociale","social","sociele"
"spada","sword","spada"
"spazio","space","spazio"
"stanza","room","stanza"
"stoico","stoic","stoico"
"storia antica","ancient history","storia antica"
"storia medioevale","medieval history","storia medioevale"
"storia","history, story","storia"
"storico","historical, historic","storico"
"stregoneria","sorcery","stregoneria"
"titolo","title","titolo"
"umorismo","humor","umorismo"
"oggigiorno","nowadays, these days","oggigiorno"
"cercare","to look for, search for; avere cercato","cercare"
"cercare di fare qc","to try to do sth","cercare di fare qc"
"tra i miei preferiti","among my favorites","tra i miei preferiti"
"iniziare","to begin, start","iniziare"
"iniziare a fare qc","to start doing sth","iniziare a fare qc"
