"valanga","n. f. <-ghe> (di neve, ghiaccio) avalanche; (quantità enorme) flood"
"valigia","n. f. <-gie [o -ge]> suitcase"
"valore","n. m. (prezzo) value; (ideale) value; (importanza, pregio) value; (validità) validity; (capacità) worth; (coraggio) bravery; FIN (moneta, titolo, obbligazione) security; pl. (gioielli, oggetti preziosi) valuables <span class=number""><acronym title=""plurale"">pl</acronym></span>; (significato: di vocabolo","locuzione) meaning"""
"vantaggio","n. m. <-ggi> (privilegio) advantage; (giovamento, convenienza) benefit; a SPORTS (distacco) lead"
"vergogna","n. f. shame; (timidezza) shyness, embarraassment"
"vergognoso","adj. ashamed; (timido) shy, embarrassed"
"vetrina","n. f. (di negozio) window; (evento, luogo rappresentativo) showcase; (mobile) display cabinet"
"viaggio","n. m. travel(ing); (traggito) journey, trip"
"vicino","n. m. (di casa) neighbor"
"viso","n. m. (volto) face; (espressione) expression"
"vissuto","n. m. (passato, esperienza) pl. experiences"
"vita","n. f. (gener) life; (durata: di fenomeno, prodotto) lifetime; (sussistenza) living"
"vita","n. f. waist"
"voce","n. f. voice"
"volante","n. m. (sterzo) steering wheel"
"volto","n. m. (viso, natura) face; (aspetto) aspect"
"vuoto","n. m. (spazio libero) void; (spazio senza oggetti) empty space, (senza persone) gap; (cavità) cavity; PHYS (di recipiente, ambiente) vacuum; (contenitore) empty container, (bottiglia) empty bottle; (lacuna) gap; (mancanza affettiva) emptiness"
